-8.606783747673034668e-01,1.091488718986511230e+00,8.156136870384216309e-01,-2.539734914898872375e-02,-4.806157574057579041e-02,-6.865887641906738281e-01,7.250109910964965820e-01,1.912369579076766968e-01,-7.163959741592407227e-02,-1.246727928519248962e-01,-2.452722005546092987e-02,-3.179764747619628906e-02,5.814751237630844116e-02,2.200430482625961304e-01,-7.690658792853355408e-03,-7.812391221523284912e-02,-5.980025976896286011e-02,-1.110958978533744812e-01,-4.414452612400054932e-02,-8.366080373525619507e-02,-3.570378571748733521e-02,2.554972283542156219e-02,3.880130350589752197e-01,1.735424876213073730e+00,4.775410592555999756e-01,1.470831036567687988e+00,1.333019435405731201e-01,4.214937984943389893e-02,-2.003634572029113770e-01,2.502015829086303711e-01,-1.620001316070556641e+00,-5.101906657218933105e-01,6.612716615200042725e-02,1.569318468682467937e-03,3.268235921859741211e-02,-1.503315102308988571e-02
-8.603938817977905273e-01,1.091956496238708496e+00,8.146050572395324707e-01,-4.504315555095672607e-02,-6.673217564821243286e-02,-6.867524981498718262e-01,7.224187850952148438e-01,2.643937468528747559e-01,-6.723112612962722778e-02,-1.230547502636909485e-01,-4.659630358219146729e-02,-2.886254899203777313e-02,5.876041948795318604e-02,2.860629260540008545e-01,-4.227260127663612366e-03,-7.496047019958496094e-02,-6.929966062307357788e-02,-1.116859540343284607e-01,-4.387217387557029724e-02,-6.782674789428710938e-02,-2.779505029320716858e-02,8.385130763053894043e-02,5.972658842802047729e-02,1.722142457962036133e+00,1.584351360797882080e-01,1.529376029968261719e+00,1.355035305023193359e-01,-1.132766716182231903e-02,-1.646461784839630127e-01,3.004583120346069336e-01,-1.609819889068603516e+00,-5.649363398551940918e-01,9.759715795516967773e-01,5.054134503006935120e-02,4.042128324508666992e-01,3.189709782600402832e-02
-8.598285317420959473e-01,1.092064261436462402e+00,8.146281838417053223e-01,-4.535478353500366211e-02,-6.668066233396530151e-02,-6.872941255569458008e-01,7.218887805938720703e-01,2.646511495113372803e-01,-6.747150421142578125e-02,-1.213640794157981873e-01,-4.613667726516723633e-02,-2.899477630853652954e-02,5.956640839576721191e-02,2.859704494476318359e-01,-4.499845672398805618e-03,-7.337179780006408691e-02,-6.906346231698989868e-02,-1.113244667649269104e-01,-4.366194456815719604e-02,-5.097987875342369080e-02,-2.106182649731636047e-02,7.991198450326919556e-02,-1.847072392702102661e-01,1.711537837982177734e+00,-8.416629582643508911e-02,1.548124670982360840e+00,1.359598934650421143e-01,-1.503710076212882996e-02,-1.584921032190322876e-01,3.762334585189819336e-01,-1.610787749290466309e+00,-6.365481615066528320e-01,1.276861310005187988e+00,6.254878640174865723e-02,4.164071977138519287e-01,6.841000169515609741e-02
-8.596541881561279297e-01,1.091938018798828125e+00,8.146849274635314941e-01,-4.223910719156265259e-02,-6.416329741477966309e-02,-6.875746250152587891e-01,7.220388054847717285e-01,2.538506686687469482e-01,-6.923001259565353394e-02,-1.208819001913070679e-01,-4.233106970787048340e-02,-2.976588718593120575e-02,5.987419560551643372e-02,2.769643664360046387e-01,-6.074126809835433960e-03,-7.356858998537063599e-02,-6.902226060628890991e-02,-1.118605211377143860e-01,-4.286529868841171265e-02,-5.083266645669937134e-02,-2.296105399727821350e-02,7.082821428775787354e-02,-1.974533796310424805e-01,1.714975357055664062e+00,-9.626033157110214233e-02,1.548349738121032715e+00,1.364116668701171875e-01,-1.481313817203044891e-02,-1.659745872020721436e-01,3.896101117134094238e-01,-1.611672163009643555e+00,-6.475538611412048340e-01,1.288076519966125488e+00,6.309852749109268188e-02,4.126580357551574707e-01,7.058684527873992920e-02
-8.595039844512939453e-01,1.091592669486999512e+00,8.148170113563537598e-01,-4.171549156308174133e-02,-6.296828389167785645e-02,-6.879528760910034180e-01,7.218140959739685059e-01,2.509822249412536621e-01,-6.840061396360397339e-02,-1.200339719653129578e-01,-4.081444442272186279e-02,-3.089664876461029053e-02,6.033595651388168335e-02,2.743369638919830322e-01,-5.179434549063444138e-03,-7.228478789329528809e-02,-6.893786042928695679e-02,-1.101108789443969727e-01,-4.293539002537727356e-02,-5.003915727138519287e-02,-2.263439074158668518e-02,6.690224260091781616e-02,-2.091302126646041870e-01,1.715079784393310547e+00,-1.079562008380889893e-01,1.549276113510131836e+00,1.363206356763839722e-01,-1.494594197720289230e-02,-1.671889424324035645e-01,4.007722139358520508e-01,-1.610953807830810547e+00,-6.597982645034790039e-01,1.298543691635131836e+00,6.369490176439285278e-02,4.086269736289978027e-01,7.268185913562774658e-02
-8.594511747360229492e-01,1.091307759284973145e+00,8.148300647735595703e-01,-4.150961339473724365e-02,-6.249924376606941223e-02,-6.884984374046325684e-01,7.213464975357055664e-01,2.502450346946716309e-01,-6.801591068506240845e-02,-1.184638589620590210e-01,-4.028870537877082825e-02,-3.148094937205314636e-02,5.995094031095504761e-02,2.734108865261077881e-01,-4.797424655407667160e-03,-7.077539712190628052e-02,-6.894554942846298218e-02,-1.100556924939155579e-01,-4.324686899781227112e-02,-4.855935648083686829e-02,-2.313630096614360809e-02,6.487779319286346436e-02,-2.202305495738983154e-01,1.714924097061157227e+00,-1.192098706960678101e-01,1.550043582916259766e+00,1.356821954250335693e-01,-1.525038201361894608e-02,-1.678189635276794434e-01,4.114113450050354004e-01,-1.609983325004577637e+00,-6.717624664306640625e-01,1.308329582214355469e+00,6.434830278158187866e-02,4.043475687503814697e-01,7.477126270532608032e-02
-8.593966364860534668e-01,1.091052532196044922e+00,8.147821426391601562e-01,-4.149966686964035034e-02,-6.220112368464469910e-02,-6.889379024505615234e-01,7.209531068801879883e-01,2.503053247928619385e-01,-6.757678836584091187e-02,-1.176182776689529419e-01,-4.024790972471237183e-02,-3.196614235639572144e-02,6.030585244297981262e-02,2.731455862522125244e-01,-4.353976342827081680e-03,-6.956519931554794312e-02,-6.909371167421340942e-02,-1.101028025150299072e-01,-4.306574538350105286e-02,-4.735161364078521729e-02,-2.371864579617977142e-02,6.403136998414993286e-02,-2.310746312141418457e-01,1.714688658714294434e+00,-1.297414600849151611e-01,1.551122426986694336e+00,1.364406347274780273e-01,-1.338530145585536957e-02,-1.668650209903717041e-01,4.227205812931060791e-01,-1.608803272247314453e+00,-6.825674176216125488e-01,1.317463517189025879e+00,6.501372158527374268e-02,3.998366594314575195e-01,7.670725136995315552e-02
-8.592944145202636719e-01,1.090810060501098633e+00,8.147554993629455566e-01,-4.158992320299148560e-02,-6.201432272791862488e-02,-6.894326806068420410e-01,7.204908728599548340e-01,2.508117258548736572e-01,-6.719166040420532227e-02,-1.162487193942070007e-01,-4.044994711875915527e-02,-3.251291438937187195e-02,6.037633121013641357e-02,2.731705904006958008e-01,-3.998253960162401199e-03,-6.833823025226593018e-02,-6.923837214708328247e-02,-1.100441440939903259e-01,-4.277902096509933472e-02,-4.595320671796798706e-02,-2.398566529154777527e-02,6.350128352642059326e-02,-2.412185668945312500e-01,1.713676095008850098e+00,-1.402322202920913696e-01,1.551906347274780273e+00,1.376072764396667480e-01,-1.278993487358093262e-02,-1.627653539180755615e-01,4.330472052097320557e-01,-1.608170509338378906e+00,-6.937377452850341797e-01,1.326017379760742188e+00,6.563461571931838989e-02,3.951098918914794922e-01,7.855323702096939087e-02
-8.591985106468200684e-01,1.090629100799560547e+00,8.146771788597106934e-01,-4.173728451132774353e-02,-6.186466664075851440e-02,-6.898384094238281250e-01,7.201067805290222168e-01,2.513160407543182373e-01,-6.677902489900588989e-02,-1.151605844497680664e-01,-4.056005924940109253e-02,-3.303617238998413086e-02,6.035922095179557800e-02,2.732740640640258789e-01,-3.632814390584826469e-03,-6.735625863075256348e-02,-6.933184713125228882e-02,-1.099687591195106506e-01,-4.264559224247932434e-02,-4.460286721587181091e-02,-2.384651452302932739e-02,6.346315145492553711e-02,-2.492233812808990479e-01,1.711428999900817871e+00,-1.523808985948562622e-01,1.553237080574035645e+00,1.419741660356521606e-01,-1.645049080252647400e-02,-1.634901612997055054e-01,4.430347681045532227e-01,-1.607603549957275391e+00,-7.045128345489501953e-01,1.334050655364990234e+00,6.618236005306243896e-02,3.902567625045776367e-01,8.018185943365097046e-02
-8.591414093971252441e-01,1.090492606163024902e+00,8.145518898963928223e-01,-4.156668111681938171e-02,-6.193685531616210938e-02,-6.901225447654724121e-01,7.198380827903747559e-01,2.514674365520477295e-01,-6.723218411207199097e-02,-1.143277287483215332e-01,-4.047872126102447510e-02,-3.329126536846160889e-02,6.047172099351882935e-02,2.732721865177154541e-01,-4.121668636798858643e-03,-6.705328077077865601e-02,-6.928241252899169922e-02,-1.113756075501441956e-01,-4.211371392011642456e-02,-4.356276243925094604e-02,-2.428477816283702850e-02,6.353925168514251709e-02,-2.567878663539886475e-01,1.707967281341552734e+00,-1.646858006715774536e-01,1.555296063423156738e+00,1.460917145013809204e-01,-1.881303451955318451e-02,-1.617524623870849609e-01,4.522865414619445801e-01,-1.607174038887023926e+00,-7.153465151786804199e-01,1.341606378555297852e+00,6.665822118520736694e-02,3.853041231632232666e-01,8.178369700908660889e-02
